,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
1,오산빌리지 경로당,85,경기도 오산시 가수로 33,경기도 오산시 가수동 33 늘푸른오스카빌아파트 114동 1002호,37.1468082004,127.0458249833
3,학대피해아동쉼터(여아),50,경기도 오산시 남부대로 464-51,경기도 오산시 청호동 37-3 203동 105호,37.1317821436,127.0827521149
7,학대피해아동쉼터(남아),123,경기도 오산시 경기대로 52-21,경기도 오산시 갈곶동 715 104동 105호,37.1294530729,127.0741862997
48,시립오산어린이집,473,경기도 오산시 남부대로362번길 22,경기도 오산시 원동 528-5,37.1341208446,127.0762655208
49,원동시립경로당,659,경기도 오산시 오산로226번길 25,경기도 오산시 원동 760-5,37.1471188696,127.071148256
52,시립비둘기어린이집,346,경기도 오산시 경기대로 105,경기도 오산시 원동 806-5 로얄프라자,37.1340798954,127.0723927591
63,시립보듬이나눔이어린이집,75,경기도 오산시 가장산업동로 62,경기도 오산시 가장동 16-23,37.162561138,127.0425095579
67,시립오산숲어린이집,5241,경기도 오산시 수청로 192,경기도 오산시 금암동 512,37.177749844,127.0448399923
70,화성국민주택 경로당,86,경기도 오산시 현충로 5-8,경기도 오산시 수청동 69-37,37.1639684,127.069250978
71,시립매홀어린이집,76,경기도 오산시 청학로173번길 36,경기도 오산시 수청동 522,37.1638450422,127.0602074072
73,시립 은여울어린이집,1098,경기도 오산시 내삼미로80번길 7,경기도 오산시 수청동 624-1,37.1697467554,127.0668640104
75,은계동시립경로당,3173,경기도 오산시 현충로 100,경기도 오산시 은계동 7-7,37.1602557297,127.0770770077
95,시립두곡동경로당,4810,경기도 오산시 초평중앙로 77,경기도 오산시 벌음동 277,37.140185322,127.0441306038
145,시립부산동경로당,130,경기도 오산시 운암로 64,경기도 오산시 오산동 923-2 대동황토방아파트 109동 101호,37.1509733323,127.0776805065
147,원3·6통 경로당,5608,경기도 오산시 오산로190번길 31-1,경기도 오산시 원동 772-16,37.1442647016,127.0720651866
151,신흥연립 경로당,387,경기도 오산시 은여울로17번길 8,경기도 오산시 궐동 55-1,37.1579297223,127.0694654369
152,시립 신장삼안 경로당,54,경기도 오산시 은여울로17번길 8,경기도 오산시 궐동 55-11 신흥연립 109호,37.1579297223,127.0694654369
165,수청2동경로당,50,경기도 오산시 청학로173번길 6,경기도 오산시 수청동 370 화성국민주택 가동 104호,37.1647211265,127.0631082446
170,시립수청어린이집,284,경기도 오산시 경기대로636번길 13,경기도 오산시 내삼미동 496-2,37.1792651749,127.0569862515
199,성산시립경로당,654,경기도 오산시 성호대로28번길 15-3,경기도 오산시 오산동 609-10,37.1481231036,127.0647352069
213,오색경로당 오산시청소년상담복지센터,1210,경기도 오산시 오산천로 48,경기도 오산시 오산동 816-81,37.1367806145,127.0640007974
269,소방학교 소방종합훈련장,"연면적 4,580.17㎡",경기도 용인시 처인구 남사읍 천덕산로11번길 42,경기도 용인시 처인구 남사읍 봉명리 646-2번지,37.1243157375,127.1166661836
286,수원병원 증축 및 리모델링,연면적 980㎡,경기도 수원시 장안구 수성로245번길 69,경기도 수원시 장안구 정자동 886-9번지,37.2918869067,126.9963395675
294,북수동경로당,115.14,경기도 수원시 팔달구 화서문로75번길 5,경기도 수원시 팔달구 북수동 67,37.28627342,127.0163110398
298,시립파장어린이집,836.63,경기도 수원시 장안구 파장천로30번길 40,경기도 수원시 장안구 파장동 593-5,37.3071599206,126.9971630356
299,파송경로당,98,경기도 수원시 장안구 파장로22번길 30,경기도 수원시 장안구 파장동 603-7,37.3055813727,126.9990241524
300,일림경로당,70,경기도 수원시 장안구 수일로104번길 20,경기도 수원시 장안구 파장동 629,37.3086381259,127.0014074998
308,고등동어린이집,282.36,경기도 수원시 팔달구 고등로 56,경기도 수원시 팔달구 고등동 110-4,37.2730053337,127.0033457629
312,고등촌경로당,72.5,경기도 수원시 팔달구 고등로72번길 20-8,경기도 수원시 팔달구 고등동 59-19,37.272469759,127.0046012766
314,교동경로당,132.02,경기도 수원시 팔달구 향교로 136-3,경기도 수원시 팔달구 교동 96-2,37.2729185285,127.0150204164
315,행궁동 보듬이나눔이어린이집,310,경기도 수원시 팔달구 창룡대로 76,경기도 수원시 팔달구 남수동 11-688,37.2853632353,127.0230291613
317,남수연화 경로당,189.45,경기도 수원시 팔달구 창룡대로30번길 9,경기도 수원시 팔달구 남수동 28,37.2814844655,127.0201094059
324,시립금호어린이집,1328,경기도 수원시 권선구 서수원로577번길 202,경기도 수원시 권선구 금곡동 1068,37.2770584722,126.9457803199
328,오룡골경로당,260.56,경기도 수원시 권선구 당수로119번길 66-26,경기도 수원시 권선구 당수동 466-1,37.284168787,126.9377863889
329,서호(여)경로당,127.34,경기도 수원시 권선구 서호로115번길 5,경기도 수원시 권선구 서둔동 103-8,37.2696968527,126.986359034
331,서호(남)경로당,54.54,경기도 수원시 권선구 서호로 138,경기도 수원시 권선구 서둔동 206-1,37.2717145894,126.9860407907
337,벌터경로당,184.9,경기도 수원시 권선구 세화로141번길 30-8,경기도 수원시 권선구 서둔동 34-13,37.2647391423,126.9926182068
339,세권경로당,188.68,경기도 수원시 권선구 세지로42번길 31-10,경기도 수원시 권선구 세류동 1084-18,37.2558329722,127.018422783
340,청소년달보듬터(남자단기청소년쉼터),498.42,경기도 수원시 권선구 경수대로 261,경기도 수원시 권선구 세류동 1121-4,37.2507047131,127.0185907358
