,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
0,청목초등학교,초등학교,경기도 화성시 청계동 539,경기도 화성시 동탄순환대로21길 10,37.195771,127.1174309
1,화성청계초등학교,초등학교,경기도 화성시 청계동 518,경기도 화성시 동탄대로시범길 39,37.199192,127.1021055
2,화성반월고등학교,고등학교,경기도 화성시 반월동 945,경기도 화성시 효행로 1281-66,37.224712,127.0550943
3,무봉초등학교,초등학교,경기도 화성시 청계동 549,경기도 화성시 동탄청계로 303-34,37.202987,127.116806
4,함박초등학교,초등학교,경기도 용인시 처인구 역북동 737,경기도 용인시 처인구 명지로40번길 46,37.23373509,127.1841126
5,용인대일초등학교,초등학교,경기도 용인시 수지구 죽전동 1247,경기도 용인시 수지구 푸른솔로 98,37.32801071,127.1189891
6,효행초등학교,초등학교,경기도 화성시 봉담읍 와우리 592,경기도 화성시 봉담읍 와우로 16,37.21596526,126.968207
7,한백중학교,중학교,경기도 화성시 영천동 698,경기도 화성시 동탄순환대로26길 26,37.20656172,127.1141301
8,동탄중앙초등학교,초등학교,경기도 화성시 청계동 529,경기도 화성시 동탄대로시범길 117,37.19928404,127.1112669
9,동탄중앙고등학교,고등학교,경기도 화성시 청계동 531,경기도 화성시 동탄대로시범길 167,37.20125793,127.110424
10,용인한얼초등학교,초등학교,경기도 용인시 기흥구 구갈동 43-24,경기도 용인시 기흥구 기흥역로58번길 57,37.270879,127.1222004
11,망포초등학교,초등학교,경기도 수원시 영통구 망포동 750,경기도 수원시 영통구 망포로 126,37.24065005,127.0470226
12,화성신동초등학교,초등학교,경기도 화성시 동탄면 신리 산186-1,경기도 화성시 동탄신동1길 11,37.17490244,127.1310568
13,용인삼계고등학교,고등학교,경기도 용인시 처인구 포곡읍 삼계리 673,경기도 용인시 처인구 포곡읍 백옥대로1898번길 34-42,37.29465951,127.2406099
14,한숲중학교,중학교,경기도 용인시 처인구 남사면 완장리 950,경기도 용인시 처인구 남사읍 한숲로 109,37.157852,127.1730187
15,상현중학교,중학교,경기도 용인시 수지구 상현동 1098,경기도 용인시 수지구 광교마을로 61,37.29949159,127.0709899
16,방교초등학교,초등학교,경기도 화성시 송동 산49-5,경기도 화성시 동탄산척로1길 11,37.17326405,127.1015231
17,화성반월초등학교,초등학교,경기도 화성시 반월동 947,경기도 화성시 효행로 1281-23,37.22359053,127.059231
18,화원초등학교,초등학교,경기도 화성시 향남읍 하길리 1506,경기도 화성시 향남읍 하길로 59,37.11170675,126.9190641
19,하길중학교,중학교,경기도 화성시 향남읍 하길리 1510,경기도 화성시 향남읍 상신하길로274번길 10,37.11225847,126.908846
20,한백고등학교,고등학교,경기도 화성시 영천동 696,경기도 화성시 동탄순환대로26길 21,37.20763155,127.1133605
